,settlementDate,settlementPeriod,startTime,netVolume,isPositive
201,2020-01-01,1,2020-01-01T00:00:00Z,-337.5,0
200,2020-01-01,2,2020-01-01T00:30:00Z,-337.5,0
199,2020-01-01,3,2020-01-01T01:00:00Z,-337.5,0
198,2020-01-01,4,2020-01-01T01:30:00Z,-337.5,0
197,2020-01-01,5,2020-01-01T02:00:00Z,-337.5,0
196,2020-01-01,6,2020-01-01T02:30:00Z,-337.5,0
195,2020-01-01,7,2020-01-01T03:00:00Z,-262.5,0
194,2020-01-01,8,2020-01-01T03:30:00Z,-262.5,0
193,2020-01-01,9,2020-01-01T04:00:00Z,-187.5,0
192,2020-01-01,10,2020-01-01T04:30:00Z,-187.5,0
191,2020-01-01,11,2020-01-01T05:00:00Z,-142.5,0
190,2020-01-01,12,2020-01-01T05:30:00Z,-142.5,0
189,2020-01-01,13,2020-01-01T06:00:00Z,137.5,1
188,2020-01-01,14,2020-01-01T06:30:00Z,137.5,1
187,2020-01-01,15,2020-01-01T07:00:00Z,-262.5,0
186,2020-01-01,16,2020-01-01T07:30:00Z,-262.5,0
185,2020-01-01,17,2020-01-01T08:00:00Z,-367.5,0
184,2020-01-01,18,2020-01-01T08:30:00Z,-367.5,0
183,2020-01-01,19,2020-01-01T09:00:00Z,-367.5,0
182,2020-01-01,20,2020-01-01T09:30:00Z,-367.5,0
181,2020-01-01,21,2020-01-01T10:00:00Z,-267.5,0
180,2020-01-01,22,2020-01-01T10:30:00Z,-267.5,0
179,2020-01-01,23,2020-01-01T11:00:00Z,-225.0,0
178,2020-01-01,24,2020-01-01T11:30:00Z,-225.0,0
177,2020-01-01,25,2020-01-01T12:00:00Z,-155.0,0
176,2020-01-01,26,2020-01-01T12:30:00Z,-155.0,0
175,2020-01-01,27,2020-01-01T13:00:00Z,-155.0,0
174,2020-01-01,28,2020-01-01T13:30:00Z,-155.0,0
173,2020-01-01,29,2020-01-01T14:00:00Z,-155.0,0
172,2020-01-01,30,2020-01-01T14:30:00Z,-155.0,0
171,2020-01-01,31,2020-01-01T15:00:00Z,-155.0,0
170,2020-01-01,32,2020-01-01T15:30:00Z,-155.0,0
169,2020-01-01,40,2020-01-01T19:30:00Z,-172.5,0
168,2020-01-01,41,2020-01-01T20:00:00Z,-172.5,0
167,2020-01-01,42,2020-01-01T20:30:00Z,-172.5,0
166,2020-01-01,43,2020-01-01T21:00:00Z,-277.5,0
165,2020-01-01,44,2020-01-01T21:30:00Z,-277.5,0
164,2020-01-01,45,2020-01-01T22:00:00Z,-437.0,0
163,2020-01-01,46,2020-01-01T22:30:00Z,-437.0,0
162,2020-01-01,47,2020-01-01T23:00:00Z,-444.5,0
161,2020-01-01,48,2020-01-01T23:30:00Z,-444.5,0
160,2020-01-02,1,2020-01-02T00:00:00Z,-444.5,0
159,2020-01-02,2,2020-01-02T00:30:00Z,-444.5,0
158,2020-01-02,3,2020-01-02T01:00:00Z,-444.5,0
157,2020-01-02,4,2020-01-02T01:30:00Z,-444.5,0
156,2020-01-02,5,2020-01-02T02:00:00Z,-444.5,0
155,2020-01-02,6,2020-01-02T02:30:00Z,-444.5,0
154,2020-01-02,7,2020-01-02T03:00:00Z,-244.5,0
153,2020-01-02,8,2020-01-02T03:30:00Z,-244.5,0
152,2020-01-02,9,2020-01-02T04:00:00Z,-119.5,0
151,2020-01-02,10,2020-01-02T04:30:00Z,-119.5,0
150,2020-01-02,11,2020-01-02T05:00:00Z,5.5,1
149,2020-01-02,12,2020-01-02T05:30:00Z,5.5,1
148,2020-01-02,13,2020-01-02T06:00:00Z,-252.0,0
147,2020-01-02,14,2020-01-02T06:30:00Z,-252.0,0
