Local_Authority,Multiplier,Date,School_Holiday
Aberdeen,0.003057163,27/06/2024,0
Aberdeen,0.003057163,28/06/2024,0
Aberdeen,0.003057163,29/06/2024,0
Aberdeen,0.003057163,30/06/2024,0
Aberdeen,0.003057163,01/07/2024,0
Aberdeen,0.003057163,02/07/2024,0
Aberdeen,0.003057163,03/07/2024,0
Aberdeen,0.003057163,04/07/2024,0
Aberdeen,0.003057163,05/07/2024,0
Aberdeen,0.003057163,06/07/2024,1
Aberdeen,0.003057163,07/07/2024,1
Aberdeen,0.003057163,08/07/2024,1
Aberdeen,0.003057163,09/07/2024,1
Aberdeen,0.003057163,10/07/2024,1
Aberdeen,0.003057163,11/07/2024,1
Aberdeen,0.003057163,12/07/2024,1
Aberdeen,0.003057163,13/07/2024,1
Aberdeen,0.003057163,14/07/2024,1
Aberdeen,0.003057163,15/07/2024,1
Aberdeen,0.003057163,16/07/2024,1
Aberdeen,0.003057163,17/07/2024,1
Aberdeen,0.003057163,18/07/2024,1
Aberdeen,0.003057163,19/07/2024,1
Aberdeen,0.003057163,20/07/2024,1
Aberdeen,0.003057163,21/07/2024,1
Aberdeen,0.003057163,22/07/2024,1
Aberdeen,0.003057163,23/07/2024,1
Aberdeen,0.003057163,24/07/2024,1
Aberdeen,0.003057163,25/07/2024,1
Aberdeen,0.003057163,26/07/2024,1
Aberdeen,0.003057163,27/07/2024,1
Aberdeen,0.003057163,28/07/2024,1
Aberdeen,0.003057163,29/07/2024,1
Aberdeen,0.003057163,30/07/2024,1
Aberdeen,0.003057163,31/07/2024,1
Aberdeen,0.003057163,01/08/2024,1
Aberdeen,0.003057163,02/08/2024,1
Aberdeen,0.003057163,03/08/2024,1
Aberdeen,0.003057163,04/08/2024,1
Aberdeen,0.003057163,05/08/2024,1
Aberdeen,0.003057163,06/08/2024,1
Aberdeen,0.003057163,07/08/2024,1
Aberdeen,0.003057163,08/08/2024,1
Aberdeen,0.003057163,09/08/2024,1
Aberdeen,0.003057163,10/08/2024,1
Aberdeen,0.003057163,11/08/2024,1
Aberdeen,0.003057163,12/08/2024,1
Aberdeen,0.003057163,13/08/2024,1
Aberdeen,0.003057163,14/08/2024,1
Aberdeen,0.003057163,15/08/2024,1
Aberdeen,0.003057163,16/08/2024,1
Aberdeen,0.003057163,17/08/2024,1
Aberdeen,0.003057163,18/08/2024,1
Aberdeen,0.003057163,19/08/2024,1
Aberdeen,0.003057163,20/08/2024,0
Aberdeen,0.003057163,21/08/2024,0
Aberdeen,0.003057163,22/08/2024,0
Aberdeen,0.003057163,23/08/2024,0
Aberdeen,0.003057163,24/08/2024,0
Aberdeen,0.003057163,25/08/2024,0
Aberdeen,0.003057163,26/08/2024,0
Aberdeen,0.003057163,27/08/2024,0
Aberdeen,0.003057163,28/08/2024,0
Aberdeen,0.003057163,29/08/2024,0
Aberdeen,0.003057163,30/08/2024,0
Aberdeen,0.003057163,31/08/2024,0
Aberdeen,0.003057163,01/09/2024,0
Aberdeen,0.003057163,02/09/2024,0
Aberdeen,0.003057163,03/09/2024,0
Aberdeen,0.003057163,04/09/2024,0
Aberdeen,0.003057163,05/09/2024,0
Aberdeen,0.003057163,06/09/2024,0
Aberdeen,0.003057163,07/09/2024,0
Aberdeen,0.003057163,08/09/2024,0
Aberdeen,0.003057163,09/09/2024,0
Aberdeen,0.003057163,10/09/2024,0
Aberdeen,0.003057163,11/09/2024,0
Aberdeen,0.003057163,12/09/2024,0
Aberdeen,0.003057163,13/09/2024,0
Aberdeen,0.003057163,14/09/2024,0
Aberdeen,0.003057163,15/09/2024,0
Aberdeen,0.003057163,16/09/2024,0
Aberdeen,0.003057163,17/09/2024,0
Aberdeen,0.003057163,18/09/2024,0
Aberdeen,0.003057163,19/09/2024,0
Aberdeen,0.003057163,20/09/2024,1
Aberdeen,0.003057163,21/09/2024,1
Aberdeen,0.003057163,22/09/2024,1
Aberdeen,0.003057163,23/09/2024,1
Aberdeen,0.003057163,24/09/2024,0
Aberdeen,0.003057163,25/09/2024,0
Aberdeen,0.003057163,26/09/2024,0
Aberdeen,0.003057163,27/09/2024,0
Aberdeen,0.003057163,28/09/2024,0
Aberdeen,0.003057163,29/09/2024,0
Aberdeen,0.003057163,30/09/2024,0
Aberdeen,0.003057163,01/10/2024,0
Aberdeen,0.003057163,02/10/2024,0
Aberdeen,0.003057163,03/10/2024,0
Aberdeen,0.003057163,04/10/2024,0
Aberdeen,0.003057163,05/10/2024,0
Aberdeen,0.003057163,06/10/2024,0
Aberdeen,0.003057163,07/10/2024,0
Aberdeen,0.003057163,08/10/2024,0
Aberdeen,0.003057163,09/10/2024,0
Aberdeen,0.003057163,10/10/2024,0
Aberdeen,0.003057163,11/10/2024,0
Aberdeen,0.003057163,12/10/2024,1
Aberdeen,0.003057163,13/10/2024,1
Aberdeen,0.003057163,14/10/2024,1
Aberdeen,0.003057163,15/10/2024,1
Aberdeen,0.003057163,16/10/2024,1
Aberdeen,0.003057163,17/10/2024,1
