,settlementDate,settlementPeriod,startTime
201,2020-01-01,1,2020-01-01T00:00:00Z
200,2020-01-01,2,2020-01-01T00:30:00Z
199,2020-01-01,3,2020-01-01T01:00:00Z
198,2020-01-01,4,2020-01-01T01:30:00Z
197,2020-01-01,5,2020-01-01T02:00:00Z
196,2020-01-01,6,2020-01-01T02:30:00Z
195,2020-01-01,7,2020-01-01T03:00:00Z
194,2020-01-01,8,2020-01-01T03:30:00Z
193,2020-01-01,9,2020-01-01T04:00:00Z
192,2020-01-01,10,2020-01-01T04:30:00Z
191,2020-01-01,11,2020-01-01T05:00:00Z
190,2020-01-01,12,2020-01-01T05:30:00Z
189,2020-01-01,13,2020-01-01T06:00:00Z
188,2020-01-01,14,2020-01-01T06:30:00Z
187,2020-01-01,15,2020-01-01T07:00:00Z
186,2020-01-01,16,2020-01-01T07:30:00Z
185,2020-01-01,17,2020-01-01T08:00:00Z
184,2020-01-01,18,2020-01-01T08:30:00Z
183,2020-01-01,19,2020-01-01T09:00:00Z
182,2020-01-01,20,2020-01-01T09:30:00Z
181,2020-01-01,21,2020-01-01T10:00:00Z
180,2020-01-01,22,2020-01-01T10:30:00Z
179,2020-01-01,23,2020-01-01T11:00:00Z
178,2020-01-01,24,2020-01-01T11:30:00Z
177,2020-01-01,25,2020-01-01T12:00:00Z
176,2020-01-01,26,2020-01-01T12:30:00Z
175,2020-01-01,27,2020-01-01T13:00:00Z
174,2020-01-01,28,2020-01-01T13:30:00Z
173,2020-01-01,29,2020-01-01T14:00:00Z
172,2020-01-01,30,2020-01-01T14:30:00Z
171,2020-01-01,31,2020-01-01T15:00:00Z
170,2020-01-01,32,2020-01-01T15:30:00Z
169,2020-01-01,40,2020-01-01T19:30:00Z
168,2020-01-01,41,2020-01-01T20:00:00Z
167,2020-01-01,42,2020-01-01T20:30:00Z
166,2020-01-01,43,2020-01-01T21:00:00Z
165,2020-01-01,44,2020-01-01T21:30:00Z
164,2020-01-01,45,2020-01-01T22:00:00Z
163,2020-01-01,46,2020-01-01T22:30:00Z
162,2020-01-01,47,2020-01-01T23:00:00Z
161,2020-01-01,48,2020-01-01T23:30:00Z
160,2020-01-02,1,2020-01-02T00:00:00Z
159,2020-01-02,2,2020-01-02T00:30:00Z
158,2020-01-02,3,2020-01-02T01:00:00Z
157,2020-01-02,4,2020-01-02T01:30:00Z
156,2020-01-02,5,2020-01-02T02:00:00Z
155,2020-01-02,6,2020-01-02T02:30:00Z
154,2020-01-02,7,2020-01-02T03:00:00Z
153,2020-01-02,8,2020-01-02T03:30:00Z
152,2020-01-02,9,2020-01-02T04:00:00Z
151,2020-01-02,10,2020-01-02T04:30:00Z
150,2020-01-02,11,2020-01-02T05:00:00Z
149,2020-01-02,12,2020-01-02T05:30:00Z
148,2020-01-02,13,2020-01-02T06:00:00Z
147,2020-01-02,14,2020-01-02T06:30:00Z
146,2020-01-02,15,2020-01-02T07:00:00Z
145,2020-01-02,16,2020-01-02T07:30:00Z
144,2020-01-02,17,2020-01-02T08:00:00Z
143,2020-01-02,18,2020-01-02T08:30:00Z
142,2020-01-02,41,2020-01-02T20:00:00Z
141,2020-01-02,42,2020-01-02T20:30:00Z
140,2020-01-02,43,2020-01-02T21:00:00Z
139,2020-01-02,44,2020-01-02T21:30:00Z
138,2020-01-02,45,2020-01-02T22:00:00Z
137,2020-01-02,46,2020-01-02T22:30:00Z
136,2020-01-02,47,2020-01-02T23:00:00Z
135,2020-01-02,48,2020-01-02T23:30:00Z
134,2020-01-03,1,2020-01-03T00:00:00Z
133,2020-01-03,2,2020-01-03T00:30:00Z
132,2020-01-03,3,2020-01-03T01:00:00Z
131,2020-01-03,4,2020-01-03T01:30:00Z
130,2020-01-03,5,2020-01-03T02:00:00Z
129,2020-01-03,6,2020-01-03T02:30:00Z
128,2020-01-03,7,2020-01-03T03:00:00Z
127,2020-01-03,8,2020-01-03T03:30:00Z
126,2020-01-03,9,2020-01-03T04:00:00Z
125,2020-01-03,10,2020-01-03T04:30:00Z
124,2020-01-03,11,2020-01-03T05:00:00Z
123,2020-01-03,12,2020-01-03T05:30:00Z
122,2020-01-03,13,2020-01-03T06:00:00Z
121,2020-01-03,14,2020-01-03T06:30:00Z
120,2020-01-03,15,2020-01-03T07:00:00Z
119,2020-01-03,16,2020-01-03T07:30:00Z
118,2020-01-03,43,2020-01-03T21:00:00Z
117,2020-01-03,44,2020-01-03T21:30:00Z
116,2020-01-03,45,2020-01-03T22:00:00Z
115,2020-01-03,46,2020-01-03T22:30:00Z
114,2020-01-03,47,2020-01-03T23:00:00Z
